tas	"	Year"	 Month	 Country	 ISO3	 ISO2
21.434	1901	1	ETH		
23.0475	1901	2	ETH		
23.8133	1901	3	ETH		
23.9284	1901	4	ETH		
23.8515	1901	5	ETH		
23.2726	1901	6	ETH		
22.9185	1901	7	ETH		
22.5428	1901	8	ETH		
22.9532	1901	9	ETH		
22.4176	1901	10	ETH		
21.5286	1901	11	ETH		
21.1522	1901	12	ETH		
20.8545	1902	1	ETH		
22.2121	1902	2	ETH		
23.2292	1902	3	ETH		
23.0653	1902	4	ETH		
22.7069	1902	5	ETH		
23.6965	1902	6	ETH		
23.8168	1902	7	ETH		
23.8632	1902	8	ETH		
23.4654	1902	9	ETH		
22.2463	1902	10	ETH		
21.3134	1902	11	ETH		
20.5437	1902	12	ETH		
21.7577	1903	1	ETH		
22.603	1903	2	ETH		
23.6429	1903	3	ETH		
24.3281	1903	4	ETH		
23.7116	1903	5	ETH		
23.5505	1903	6	ETH		
23.394	1903	7	ETH		
22.6821	1903	8	ETH		
22.6449	1903	9	ETH		
22.0215	1903	10	ETH		
20.7505	1903	11	ETH		
20.6535	1903	12	ETH		
20.7243	1904	1	ETH		
22.4745	1904	2	ETH		
23.3616	1904	3	ETH		
24.0095	1904	4	ETH		
23.7457	1904	5	ETH		
24.0144	1904	6	ETH		
22.645	1904	7	ETH		
22.7701	1904	8	ETH		
22.7225	1904	9	ETH		
22.0804	1904	10	ETH		
21.2142	1904	11	ETH		
20.5173	1904	12	ETH		
21.2403	1905	1	ETH		
21.9825	1905	2	ETH		
23.0874	1905	3	ETH		
23.4827	1905	4	ETH		
23.401	1905	5	ETH		
23.5626	1905	6	ETH		
23.0902	1905	7	ETH		
22.3678	1905	8	ETH		
22.7595	1905	9	ETH		
22.731	1905	10	ETH		
22.0555	1905	11	ETH		
21.2826	1905	12	ETH		
20.8911	1906	1	ETH		
23.2856	1906	2	ETH		
23.4036	1906	3	ETH		
23.6325	1906	4	ETH		
24.5896	1906	5	ETH		
24.4488	1906	6	ETH		
23.0443	1906	7	ETH		
22.8147	1906	8	ETH		
23.04	1906	9	ETH		
22.1614	1906	10	ETH		
20.7741	1906	11	ETH		
19.6284	1906	12	ETH		
20.4675	1907	1	ETH		
22.8239	1907	2	ETH		
23.9333	1907	3	ETH		
24.1133	1907	4	ETH		
24.1094	1907	5	ETH		
23.9233	1907	6	ETH		
22.7627	1907	7	ETH		
21.9945	1907	8	ETH		
22.5507	1907	9	ETH		
22.0765	1907	10	ETH		
20.6996	1907	11	ETH		
18.8532	1907	12	ETH		
20.8813	1908	1	ETH		
21.686	1908	2	ETH		
24.4278	1908	3	ETH		
24.7264	1908	4	ETH		
25.3059	1908	5	ETH		
24.0996	1908	6	ETH		
22.7161	1908	7	ETH		
22.202	1908	8	ETH		
23.6319	1908	9	ETH		
24.3106	1908	10	ETH		
20.2901	1908	11	ETH		
19.5228	1908	12	ETH		
20.1723	1909	1	ETH		
21.8707	1909	2	ETH		
23.0272	1909	3	ETH		
22.5638	1909	4	ETH		
23.3221	1909	5	ETH		
22.8029	1909	6	ETH		
22.938	1909	7	ETH		
22.781	1909	8	ETH		
22.6616	1909	9	ETH		
22.0677	1909	10	ETH		
20.9309	1909	11	ETH		
20.9568	1909	12	ETH		
20.9347	1910	1	ETH		
22.4321	1910	2	ETH		
23.6343	1910	3	ETH		
24.4108	1910	4	ETH		
24.4974	1910	5	ETH		
23.9005	1910	6	ETH		
23.7474	1910	7	ETH		
22.9184	1910	8	ETH		
22.53	1910	9	ETH		
22.0204	1910	10	ETH		
21.367	1910	11	ETH		
21.3367	1910	12	ETH		
21.6187	1911	1	ETH		
22.0008	1911	2	ETH		
23.9074	1911	3	ETH		
23.9121	1911	4	ETH		
24.107	1911	5	ETH		
24.0257	1911	6	ETH		
22.7351	1911	7	ETH		
22.5344	1911	8	ETH		
22.6352	1911	9	ETH		
22.595	1911	10	ETH		
21.698	1911	11	ETH		
21.0236	1911	12	ETH		
20.8433	1912	1	ETH		
22.1106	1912	2	ETH		
23.1546	1912	3	ETH		
23.3808	1912	4	ETH		
23.4814	1912	5	ETH		
23.317	1912	6	ETH		
22.2532	1912	7	ETH		
22.0498	1912	8	ETH		
22.3919	1912	9	ETH		
21.9034	1912	10	ETH		
21.41	1912	11	ETH		
20.3587	1912	12	ETH		
20.864	1913	1	ETH		
21.9969	1913	2	ETH		
22.6095	1913	3	ETH		
23.5362	1913	4	ETH		
23.4554	1913	5	ETH		
23.11	1913	6	ETH		
22.7674	1913	7	ETH		
22.4258	1913	8	ETH		
22.8815	1913	9	ETH		
22.1526	1913	10	ETH		
20.9027	1913	11	ETH		
20.43	1913	12	ETH		
21.7709	1914	1	ETH		
22.3396	1914	2	ETH		
23.7391	1914	3	ETH		
23.5823	1914	4	ETH		
23.6103	1914	5	ETH		
23.5933	1914	6	ETH		
22.4615	1914	7	ETH		
22.1024	1914	8	ETH		
22.6272	1914	9	ETH		
22.1024	1914	10	ETH		
21.5622	1914	11	ETH		
20.9456	1914	12	ETH		
21.6028	1915	1	ETH		
22.4653	1915	2	ETH		
23.4367	1915	3	ETH		
23.7573	1915	4	ETH		
23.5743	1915	5	ETH		
23.3066	1915	6	ETH		
22.5266	1915	7	ETH		
22.2344	1915	8	ETH		
22.6212	1915	9	ETH		
22.1711	1915	10	ETH		
21.4818	1915	11	ETH		
20.6467	1915	12	ETH		
20.534	1916	1	ETH		
22.342	1916	2	ETH		
23.2088	1916	3	ETH		
23.7292	1916	4	ETH		
23.4522	1916	5	ETH		
23.1961	1916	6	ETH		
22.2699	1916	7	ETH		
22.0427	1916	8	ETH		
22.4016	1916	9	ETH		
21.7988	1916	10	ETH		
21.3427	1916	11	ETH		
20.5656	1916	12	ETH		
21.1088	1917	1	ETH		
22.3906	1917	2	ETH		
23.328	1917	3	ETH		
23.3834	1917	4	ETH		
23.386	1917	5	ETH		
23.1773	1917	6	ETH		
22.5325	1917	7	ETH		
22.1341	1917	8	ETH		
22.2995	1917	9	ETH		
22.0084	1917	10	ETH		
21.1649	1917	11	ETH		
20.6518	1917	12	ETH		
20.7932	1918	1	ETH		
22.0655	1918	2	ETH		
22.9226	1918	3	ETH		
23.187	1918	4	ETH		
23.4641	1918	5	ETH		
23.2766	1918	6	ETH		
22.669	1918	7	ETH		
22.2814	1918	8	ETH		
22.793	1918	9	ETH		
