tas	"	Year"	 Month
21.8524	1991	1
22.3767	1991	2
23.5291	1991	3
24.7054	1991	4
23.945	1991	5
23.8675	1991	6
22.749	1991	7
22.6282	1991	8
22.9008	1991	9
22.3911	1991	10
21.1684	1991	11
20.963	1991	12
20.519	1992	1
21.891	1992	2
23.8264	1992	3
24.7617	1992	4
24.5007	1992	5
24.0195	1992	6
22.3496	1992	7
21.9254	1992	8
22.1649	1992	9
21.6833	1992	10
20.4596	1992	11
20.4194	1992	12
20.3635	1993	1
20.8251	1993	2
23.9159	1993	3
23.8115	1993	4
23.6106	1993	5
23.6278	1993	6
22.8496	1993	7
22.6601	1993	8
20.9363	1993	9
22.5682	1993	10
22.0257	1993	11
17.0995	1993	12
20.8273	1994	1
22.5599	1994	2
23.6268	1994	3
24.8239	1994	4
23.7589	1994	5
23.4252	1994	6
22.5679	1994	7
22.1647	1994	8
22.4045	1994	9
22.1283	1994	10
20.5717	1994	11
20.6345	1994	12
21.22	1995	1
22.7971	1995	2
23.6771	1995	3
24.4264	1995	4
24.5689	1995	5
23.8763	1995	6
22.8016	1995	7
22.8535	1995	8
23.3153	1995	9
22.839	1995	10
21.8142	1995	11
21.7737	1995	12
21.9626	1996	1
23.2345	1996	2
23.9235	1996	3
25.1569	1996	4
23.814	1996	5
22.9797	1996	6
22.833	1996	7
22.6069	1996	8
23.342	1996	9
22.435	1996	10
21.2943	1996	11
20.8533	1996	12
20.9285	1997	1
22.0164	1997	2
24.2248	1997	3
23.7085	1997	4
23.8882	1997	5
23.5919	1997	6
23.1903	1997	7
23.1526	1997	8
23.4685	1997	9
22.3081	1997	10
21.8552	1997	11
21.177	1997	12
22.074	1998	1
23.2127	1998	2
24.117	1998	3
25.4863	1998	4
24.3206	1998	5
24.609	1998	6
23.1963	1998	7
22.7045	1998	8
22.9847	1998	9
22.5207	1998	10
21.1013	1998	11
20.5018	1998	12
21.4167	1999	1
22.6983	1999	2
23.4528	1999	3
24.7447	1999	4
24.3966	1999	5
23.7749	1999	6
22.549	1999	7
21.6402	1999	8
22.6493	1999	9
21.5585	1999	10
20.876	1999	11
20.775	1999	12
20.9106	2000	1
22.4835	2000	2
23.5763	2000	3
24.7904	2000	4
23.9827	2000	5
23.991	2000	6
23.4175	2000	7
22.5051	2000	8
22.934	2000	9
21.9195	2000	10
22.7622	2000	11
20.9697	2000	12
21.8745	2001	1
22.5602	2001	2
23.9112	2001	3
25.0305	2001	4
23.8962	2001	5
23.3574	2001	6
23.096	2001	7
22.1681	2001	8
23.0563	2001	9
23.1328	2001	10
21.47	2001	11
21.5984	2001	12
21.2681	2002	1
23.2133	2002	2
24.1021	2002	3
24.9725	2002	4
25.2851	2002	5
24.037	2002	6
23.8569	2002	7
23.1611	2002	8
23.2968	2002	9
22.0257	2002	10
22.2567	2002	11
22.1182	2002	12
21.7774	2003	1
23.6345	2003	2
24.3523	2003	3
24.9787	2003	4
25.4284	2003	5
24.4484	2003	6
22.9644	2003	7
22.9733	2003	8
22.5001	2003	9
22.7504	2003	10
21.9961	2003	11
21.128	2003	12
22.3479	2004	1
22.7064	2004	2
23.9641	2004	3
24.4839	2004	4
24.8338	2004	5
24.0426	2004	6
23.3521	2004	7
23.2548	2004	8
23.1842	2004	9
21.9526	2004	10
21.8845	2004	11
21.6078	2004	12
21.4754	2005	1
23.6057	2005	2
24.4664	2005	3
24.9082	2005	4
24.3847	2005	5
23.3442	2005	6
23.0294	2005	7
23.322	2005	8
23.5486	2005	9
22.6805	2005	10
21.7219	2005	11
20.6441	2005	12
21.7252	2006	1
23.7484	2006	2
23.9399	2006	3
24.2698	2006	4
24.4076	2006	5
24.1839	2006	6
23.2478	2006	7
22.5745	2006	8
22.9879	2006	9
23.0392	2006	10
22.0088	2006	11
21.2874	2006	12
21.5485	2007	1
23.1259	2007	2
24.1292	2007	3
24.5696	2007	4
24.7893	2007	5
23.8995	2007	6
22.5555	2007	7
22.6488	2007	8
23.1359	2007	9
22.4531	2007	10
22.4214	2007	11
20.9403	2007	12
21.8999	2008	1
22.5365	2008	2
22.5817	2008	3
23.9378	2008	4
24.3252	2008	5
23.7197	2008	6
22.9945	2008	7
22.9205	2008	8
23.5882	2008	9
22.7565	2008	10
21.2982	2008	11
20.9411	2008	12
21.578	2009	1
23.2193	2009	2
24.3022	2009	3
25.4265	2009	4
25.1196	2009	5
24.8693	2009	6
23.4321	2009	7
23.6102	2009	8
24.1554	2009	9
22.7712	2009	10
22.2856	2009	11
22.1578	2009	12
21.9947	2010	1
23.226	2010	2
23.7379	2010	3
25.2193	2010	4
24.4852	2010	5
24.1024	2010	6
22.9004	2010	7
22.8707	2010	8
23.2915	2010	9
23.0641	2010	10
22.2937	2010	11
22.2234	2010	12
21.631	2011	1
22.9908	2011	2
23.7753	2011	3
25.3552	2011	4
24.3759	2011	5
24.4805	2011	6
23.5806	2011	7
23.0882	2011	8
23.5094	2011	9
20.5207	2011	10
20.3033	2011	11
19.9879	2011	12
21.546	2012	1
22.3213	2012	2
24.114	2012	3
24.2142	2012	4
25.0678	2012	5
24.145	2012	6
23.0136	2012	7
22.8636	2012	8
23.6166	2012	9
23.182	2012	10
22.2064	2012	11
21.7167	2012	12
22.2156	2013	1
23.317	2013	2
24.9055	2013	3
24.4184	2013	4
25.2	2013	5
23.8321	2013	6
23.0495	2013	7
22.9551	2013	8
23.5775	2013	9
22.4504	2013	10
22.1339	2013	11
20.4996	2013	12
21.3072	2014	1
22.7342	2014	2
24.4697	2014	3
24.7025	2014	4
24.2449	2014	5
24.6908	2014	6
23.5044	2014	7
23.0339	2014	8
23.3658	2014	9
22.7634	2014	10
22.3866	2014	11
21.4471	2014	12
21.1581	2015	1
23.3509	2015	2
24.654	2015	3
24.9227	2015	4
24.6859	2015	5
24.6762	2015	6
24.5282	2015	7
23.6319	2015	8
24.3409	2015	9
23.9694	2015	10
22.6825	2015	11
21.9719	2015	12
