tas	"	Year"	 Month	 Country	 ISO3	 ISO2
22.5684	1901	1	ZAF		
22.464	1901	2	ZAF		
19.508	1901	3	ZAF		
17.9655	1901	4	ZAF		
12.8272	1901	5	ZAF		
10.6417	1901	6	ZAF		
9.82144	1901	7	ZAF		
12.7161	1901	8	ZAF		
14.3793	1901	9	ZAF		
16.9279	1901	10	ZAF		
19.5505	1901	11	ZAF		
21.5345	1901	12	ZAF		
21.2266	1902	1	ZAF		
22.2234	1902	2	ZAF		
20.3511	1902	3	ZAF		
16.7192	1902	4	ZAF		
14.3036	1902	5	ZAF		
9.83946	1902	6	ZAF		
10.6724	1902	7	ZAF		
11.8817	1902	8	ZAF		
14.3117	1902	9	ZAF		
17.3256	1902	10	ZAF		
18.7524	1902	11	ZAF		
22.0174	1902	12	ZAF		
22.5375	1903	1	ZAF		
22.1002	1903	2	ZAF		
20.1539	1903	3	ZAF		
16.5393	1903	4	ZAF		
13.3461	1903	5	ZAF		
9.65809	1903	6	ZAF		
10.0671	1903	7	ZAF		
12.1436	1903	8	ZAF		
14.9158	1903	9	ZAF		
17.0976	1903	10	ZAF		
19.0635	1903	11	ZAF		
21.6556	1903	12	ZAF		
21.7369	1904	1	ZAF		
21.4831	1904	2	ZAF		
19.717	1904	3	ZAF		
17.1306	1904	4	ZAF		
13.3081	1904	5	ZAF		
10.6908	1904	6	ZAF		
10.6207	1904	7	ZAF		
11.9418	1904	8	ZAF		
14.5169	1904	9	ZAF		
17.2346	1904	10	ZAF		
19.8668	1904	11	ZAF		
20.4618	1904	12	ZAF		
22.3834	1905	1	ZAF		
21.5944	1905	2	ZAF		
19.7832	1905	3	ZAF		
17.7076	1905	4	ZAF		
13.1208	1905	5	ZAF		
9.82662	1905	6	ZAF		
11.0736	1905	7	ZAF		
11.2455	1905	8	ZAF		
15.0985	1905	9	ZAF		
18.0156	1905	10	ZAF		
19.6222	1905	11	ZAF		
21.8329	1905	12	ZAF		
22.8377	1906	1	ZAF		
21.6216	1906	2	ZAF		
19.8909	1906	3	ZAF		
16.3203	1906	4	ZAF		
13.5102	1906	5	ZAF		
10.916	1906	6	ZAF		
9.68266	1906	7	ZAF		
11.01	1906	8	ZAF		
14.755	1906	9	ZAF		
16.4685	1906	10	ZAF		
19.316	1906	11	ZAF		
20.7933	1906	12	ZAF		
21.635	1907	1	ZAF		
21.5822	1907	2	ZAF		
20.4301	1907	3	ZAF		
16.2819	1907	4	ZAF		
12.3007	1907	5	ZAF		
10.1548	1907	6	ZAF		
9.99646	1907	7	ZAF		
12.0869	1907	8	ZAF		
14.972	1907	9	ZAF		
16.5806	1907	10	ZAF		
18.6524	1907	11	ZAF		
20.4874	1907	12	ZAF		
21.547	1908	1	ZAF		
22.0582	1908	2	ZAF		
19.9535	1908	3	ZAF		
15.4801	1908	4	ZAF		
13.4767	1908	5	ZAF		
10.2678	1908	6	ZAF		
10.3599	1908	7	ZAF		
12.0995	1908	8	ZAF		
15.3908	1908	9	ZAF		
17.2344	1908	10	ZAF		
19.2984	1908	11	ZAF		
21.844	1908	12	ZAF		
22.174	1909	1	ZAF		
21.1809	1909	2	ZAF		
19.2663	1909	3	ZAF		
17.1195	1909	4	ZAF		
13.2184	1909	5	ZAF		
11.0936	1909	6	ZAF		
10.7021	1909	7	ZAF		
12.3872	1909	8	ZAF		
15.1598	1909	9	ZAF		
16.9887	1909	10	ZAF		
19.81	1909	11	ZAF		
20.8422	1909	12	ZAF		
22.008	1910	1	ZAF		
21.4499	1910	2	ZAF		
20.2648	1910	3	ZAF		
17.0624	1910	4	ZAF		
13.3024	1910	5	ZAF		
9.8416	1910	6	ZAF		
10.376	1910	7	ZAF		
11.6542	1910	8	ZAF		
14.6985	1910	9	ZAF		
16.7325	1910	10	ZAF		
18.1537	1910	11	ZAF		
21.4101	1910	12	ZAF		
22.1108	1911	1	ZAF		
22.6629	1911	2	ZAF		
19.8872	1911	3	ZAF		
16.5798	1911	4	ZAF		
12.6983	1911	5	ZAF		
9.4948	1911	6	ZAF		
9.58766	1911	7	ZAF		
11.1405	1911	8	ZAF		
14.6564	1911	9	ZAF		
18.368	1911	10	ZAF		
19.8503	1911	11	ZAF		
22.7722	1911	12	ZAF		
22.8121	1912	1	ZAF		
22.1404	1912	2	ZAF		
20.2611	1912	3	ZAF		
17.2981	1912	4	ZAF		
13.7967	1912	5	ZAF		
10.5005	1912	6	ZAF		
10.2643	1912	7	ZAF		
12.0683	1912	8	ZAF		
13.9127	1912	9	ZAF		
18.0489	1912	10	ZAF		
20.596	1912	11	ZAF		
22.0392	1912	12	ZAF		
23.126	1913	1	ZAF		
22.4123	1913	2	ZAF		
20.3559	1913	3	ZAF		
17.1573	1913	4	ZAF		
13.6021	1913	5	ZAF		
10.9308	1913	6	ZAF		
10.2104	1913	7	ZAF		
13.0158	1913	8	ZAF		
14.6165	1913	9	ZAF		
17.251	1913	10	ZAF		
20.0399	1913	11	ZAF		
22.0155	1913	12	ZAF		
23.3498	1914	1	ZAF		
22.3731	1914	2	ZAF		
20.6842	1914	3	ZAF		
17.3881	1914	4	ZAF		
14.3083	1914	5	ZAF		
10.1108	1914	6	ZAF		
10.3445	1914	7	ZAF		
11.6017	1914	8	ZAF		
16.2267	1914	9	ZAF		
18.611	1914	10	ZAF		
19.1744	1914	11	ZAF		
21.4591	1914	12	ZAF		
23.6416	1915	1	ZAF		
22.7339	1915	2	ZAF		
20.9143	1915	3	ZAF		
16.6769	1915	4	ZAF		
13.1918	1915	5	ZAF		
10.4927	1915	6	ZAF		
9.17192	1915	7	ZAF		
12.4237	1915	8	ZAF		
14.9491	1915	9	ZAF		
17.4335	1915	10	ZAF		
19.8095	1915	11	ZAF		
21.7142	1915	12	ZAF		
22.2175	1916	1	ZAF		
22.9758	1916	2	ZAF		
20.1374	1916	3	ZAF		
17.4831	1916	4	ZAF		
12.0544	1916	5	ZAF		
10.0186	1916	6	ZAF		
10.8712	1916	7	ZAF		
11.379	1916	8	ZAF		
15.195	1916	9	ZAF		
18.2735	1916	10	ZAF		
20.1625	1916	11	ZAF		
21.9164	1916	12	ZAF		
22.3952	1917	1	ZAF		
22.3238	1917	2	ZAF		
20.1103	1917	3	ZAF		
16.7557	1917	4	ZAF		
12.6099	1917	5	ZAF		
10.0097	1917	6	ZAF		
9.64085	1917	7	ZAF		
10.7081	1917	8	ZAF		
14.4781	1917	9	ZAF		
17.6562	1917	10	ZAF		
19.0975	1917	11	ZAF		
21.2678	1917	12	ZAF		
21.2762	1918	1	ZAF		
22.4325	1918	2	ZAF		
19.8972	1918	3	ZAF		
17.093	1918	4	ZAF		
12.5456	1918	5	ZAF		
10.307	1918	6	ZAF		
10.2891	1918	7	ZAF		
11.599	1918	8	ZAF		
15.6239	1918	9	ZAF		
18.1736	1918	10	ZAF		
19.6531	1918	11	ZAF		
21.7098	1918	12	ZAF		
22.6365	1919	1	ZAF		
22.6219	1919	2	ZAF		
20.8228	1919	3	ZAF		
18.3181	1919	4	ZAF		
13.26	1919	5	ZAF		
11.2775	1919	6	ZAF		
10.6158	1919	7	ZAF		
12.2554	1919	8	ZAF		
14.2203	1919	9	ZAF		
18.3113	1919	10	ZAF		
19.2249	1919	11	ZAF		
22.0832	1919	12	ZAF		
23.38	1920	1	ZAF		
21.6733	1920	2	ZAF		
