pr	"	Year"	 Month	 Country	 ISO3	 ISO2
113.717	1991	1	ZAF		
63.15	1991	2	ZAF		
79.7912	1991	3	ZAF		
5.92753	1991	4	ZAF		
10.6128	1991	5	ZAF		
23.4393	1991	6	ZAF		
11.3333	1991	7	ZAF		
4.87694	1991	8	ZAF		
28.6665	1991	9	ZAF		
71.7739	1991	10	ZAF		
37.2828	1991	11	ZAF		
56.7355	1991	12	ZAF		
29.3252	1992	1	ZAF		
37.1748	1992	2	ZAF		
36.1043	1992	3	ZAF		
14.4567	1992	4	ZAF		
4.89625	1992	5	ZAF		
11.6148	1992	6	ZAF		
9.81373	1992	7	ZAF		
22.0714	1992	8	ZAF		
7.60954	1992	9	ZAF		
35.6254	1992	10	ZAF		
54.1272	1992	11	ZAF		
49.5574	1992	12	ZAF		
41.1542	1993	1	ZAF		
60.9931	1993	2	ZAF		
41.6897	1993	3	ZAF		
36.1535	1993	4	ZAF		
12.9808	1993	5	ZAF		
11.7965	1993	6	ZAF		
11.217	1993	7	ZAF		
12.9075	1993	8	ZAF		
18.3703	1993	9	ZAF		
61.3099	1993	10	ZAF		
53.6713	1993	11	ZAF		
77.1168	1993	12	ZAF		
76.7241	1994	1	ZAF		
72.6475	1994	2	ZAF		
56.0447	1994	3	ZAF		
18.6393	1994	4	ZAF		
4.62347	1994	5	ZAF		
14.4981	1994	6	ZAF		
13.6903	1994	7	ZAF		
10.5066	1994	8	ZAF		
7.41148	1994	9	ZAF		
29.8253	1994	10	ZAF		
28.4899	1994	11	ZAF		
50.3552	1994	12	ZAF		
68.6747	1995	1	ZAF		
33.3951	1995	2	ZAF		
79.1196	1995	3	ZAF		
29.0664	1995	4	ZAF		
25.4991	1995	5	ZAF		
9.84287	1995	6	ZAF		
7.3696	1995	7	ZAF		
13.1953	1995	8	ZAF		
14.8875	1995	9	ZAF		
45.3688	1995	10	ZAF		
69.8577	1995	11	ZAF		
106.253	1995	12	ZAF		
94.9951	1996	1	ZAF		
107.292	1996	2	ZAF		
41.7532	1996	3	ZAF		
32.621	1996	4	ZAF		
19.9117	1996	5	ZAF		
6.39183	1996	6	ZAF		
26.7414	1996	7	ZAF		
17.0715	1996	8	ZAF		
15.4957	1996	9	ZAF		
